County,External Death Rate,suicide Crude Rate,Total Violent Crime Rate,Avg. HPSA Score
Trinity County,324.0907454,43,594.8063253,15.2
Plumas County,148.5374771,25,794.7218474,17.33333333
Lassen County,197.3863327,25,601.8054162,17.125
Glenn County,184.8001848,26,540.502098,17.5
Lake County,158.3820663,31,542.7974948,16.3
Del Norte County,198.6919447,17,695.5609927,15.83333333
Solano County,75.66377769,13,568.5337153,22
Kern County,108.0674995,13,740.3252143,17.77272727
San Joaquin County,78.933661,10,805.0418353,18.5
Inyo County,217.6278564,21,684.7837809,12
Humboldt County,99.92484991,24,467.9735261,18.71428571
Shasta County,117.3351875,26,551.282847,16.11111111
Tehama County,106.0856094,21,546.7752864,17.91666667
Yuba County,100.4326329,20,559.9057584,18
Merced County,75.52302827,10,648.9622468,19.83333333
Siskiyou County,114.8885059,25,501.1135857,15.90909091
Butte County,117.4023523,20,485.9090909,17.42857143
Mariposa County,139.4346559,28,334.2282615,16.66666667
Mendocino County,156.2437933,21,422.354026,16.28571429
San Francisco County,100.2907383,11,611.2501319,18
Fresno County,77.59406597,11,638.4007738,18.32432432
Amador County,106.6068939,28,409.5455619,15.5
Calaveras County,92.76652984,27,346.6584756,17
Stanislaus County,76.41858229,11,548.7381743,18.33333333
San Bernardino County,76.07402502,11,629.4682121,16.93103448
Sacramento County,70.07286022,13,515.5104216,18.11111111
Alameda County,55.94110384,9,638.6271073,17.71428571
Kings County,73.58933983,13,507.9028905,17.64285714
Tuolumne County,101.488498,25,440.7116409,13.77777778
Sutter County,82.17728007,13,328.2772306,19.33333333
Sonoma County,69.78592075,15,457.1400229,16.75
Santa Barbara County,64.7008937,13,430.2952382,17.54545455
Los Angeles County,56.30959627,9,556.0871427,16.96039604
Santa Cruz County,80.40427101,16,369.689994,17
Tulare County,69.63182174,10,384.2335344,18.52941177
San Luis Obispo County,74.60587785,19,302.6290902,17
Marin County,76.78091548,16,246.8216268,18.66666667
Madera County,68.48666332,11,383.123985,18.125
San Diego County,64.00005807,13,372.078688,17
El Dorado County,86.53939835,18,205.4590242,17
Nevada County,106.5636903,21,226.8032886,15
Napa County,78.68568958,11,394.9180856,16
Yolo County,67.41278099,11,309.1874991,17.66666667
Imperial County,73.79488681,8,333.4708471,16.8
Orange County,49.92019485,10,243.8350267,18.22222222
Riverside County,71.06150357,12,330.7848182,15.29166667
Ventura County,63.98959244,11,204.7811417,17.5
San Benito County,108.6651711,10,296.7305361,14.6
Monterey County,71.53075823,9,356.5775303,15.23076923
San Mateo County,46.73606182,8,244.1363433,18
Santa Clara County,49.94003473,8,344.6820405,15.8125
Contra Costa County,60.25505923,10,368.9139916,13.16666667
Colusa County,108.9432505,9,284.7938746,12.5
Placer County,65.4723278,14,183.1060293,14
