"FIPStxt","State FIPS Code","County FIPS Code","Area_Name","Postal Code","Poverty Estimate, All Ages","Poverty Estimate, Age 0-17","Poverty Estimate, Age 5-17 in Families","Median Household Income","CENSUS_2020_POP","ESTIMATES_BASE_2020","POP_ESTIMATE_2020","POP_ESTIMATE_2021","POP_ESTIMATE_2022"
"00000","00","000","United States","US",41393176,12243219,8636275,69717,331449281,331449520,331511512,332031554,333287557
"01000","01","000","Alabama","AL",800848,250327,176596,53990,5024279,5024356,5031362,5049846,5074296
"01001","01","001","Autauga County","AL",6296,2199,1607,66444,58805,58802,58902,59210,59759
"01003","01","003","Baldwin County","AL",25526,8207,5762,65658,231767,231761,233219,239361,246435
"01005","01","005","Barbour County","AL",5089,1776,1276,38649,25223,25224,24960,24539,24706
"01007","01","007","Bibb County","AL",4204,1275,940,48454,22293,22300,22183,22370,22005
"01009","01","009","Blount County","AL",6992,2236,1599,56894,59134,59130,59102,59085,59512
"01011","01","011","Bullock County","AL",2764,903,690,32027,10357,10362,10296,10280,10202
"01013","01","013","Butler County","AL",4226,1441,1073,39442,19051,19055,19031,18855,18650
"01015","01","015","Calhoun County","AL",21630,6205,4485,48166,116441,116444,116239,115677,115788
"01017","01","017","Chambers County","AL",6699,2258,1654,45447,34772,34774,34645,34446,34088
"01019","01","019","Cherokee County","AL",4513,1235,882,46365,24971,24979,24972,25026,25302
"01021","01","021","Chilton County","AL",6973,2362,1621,55142,45014,45009,45051,45259,45884
"01023","01","023","Choctaw County","AL",2893,809,587,40601,12665,12663,12619,12549,12439
"01025","01","025","Clarke County","AL",4366,1419,1012,45447,23087,23087,22981,22715,22515
"01027","01","027","Clay County","AL",2560,792,576,47036,14236,14237,14211,14190,14198
"01029","01","029","Cleburne County","AL",2236,755,532,49769,15056,15057,15063,15148,15346
"01031","01","031","Coffee County","AL",8516,3087,1982,55052,53465,53460,53547,54171,54805
"01033","01","033","Colbert County","AL",9396,2841,1862,53341,57227,57232,57299,57619,58033
"01035","01","035","Conecuh County","AL",2528,762,555,35621,11597,11597,11553,11320,11206
"01037","01","037","Coosa County","AL",1754,499,362,45954,10387,10382,10341,10366,10166
"01039","01","039","Covington County","AL",7317,2304,1610,44188,37570,37567,37507,37542,37602
"01041","01","041","Crenshaw County","AL",2267,854,621,38037,13194,13197,13165,13056,13025
"01043","01","043","Cullman County","AL",11898,3432,2390,55036,87866,87857,88131,89618,90665
"01045","01","045","Dale County","AL",7587,2558,1708,50086,49326,49319,49253,49412,49544
"01047","01","047","Dallas County","AL",10914,3924,2843,33159,38462,38463,38174,37565,36767
"01049","01","049","DeKalb County","AL",13783,4981,3104,45062,71608,71611,71648,71829,71998
"01051","01","051","Elmore County","AL",10138,3347,2418,63147,87977,87974,87853,88737,89563
"01053","01","053","Escambia County","AL",8147,2445,1817,40506,36757,36767,36680,36658,36666
"01055","01","055","Etowah County","AL",17605,5464,3841,46308,103436,103441,103447,103139,103088
"01057","01","057","Fayette County","AL",3123,901,633,46122,16321,16326,16330,16155,16118
"01059","01","059","Franklin County","AL",5995,1968,1379,45440,32113,32113,32075,31996,31932
"01061","01","061","Geneva County","AL",5566,1672,1179,43206,26659,26660,26696,26667,26783
"01063","01","063","Greene County","AL",2520,848,595,30225,7730,7734,7702,7592,7422
"01065","01","065","Hale County","AL",3221,1128,807,41995,14785,14786,14768,14737,14595
"01067","01","067","Henry County","AL",2694,867,621,56389,17146,17148,17175,17434,17655
"01069","01","069","Houston County","AL",20210,6511,4743,48701,107202,107204,107286,107453,108079
"01071","01","071","Jackson County","AL",9851,2906,2082,46998,52579,52582,52545,52694,52891
"01073","01","073","Jefferson County","AL",110131,35575,26377,55210,674721,674355,674675,669997,665409
"01075","01","075","Lamar County","AL",2300,715,498,44265,13972,13976,13956,13740,13705
